SNR BLER BER UNCODED_BER ENCODER_MEAN ENCODER_STD ENCODER_MAX DECODER_TIME_MEAN DECODER_TIME_STD DECODER_TIME_MAX DECODER_ITER_MEAN DECODER_ITER_STD DECODER_ITER_MAX
-2.000000 1.000000 0.346709 0.261600 386.906955 0.000000 386.906955 237.331605 0.000000 237.331605 4.000000 0.000000 4 
-1.500000 1.000000 0.331321 0.245620 121.535501 -nan 121.535501 275.051825 -nan 275.051825 4.000000 0.000000 4 
-1.000000 1.000000 0.324574 0.232521 110.700942 -nan 110.700942 273.851297 0.000004 273.851297 4.000000 0.000000 4 
-0.500000 1.000000 0.314512 0.220723 106.537005 -nan 106.537005 264.439320 0.000004 264.439320 4.000000 0.000000 4 
0.000000 1.000000 0.292022 0.206400 106.478256 0.000001 106.478256 265.911008 0.000005 265.911008 4.000000 0.000000 4 
0.500000 1.000000 0.247751 0.193695 102.759587 0.000000 102.759587 263.615009 -nan 263.615009 4.000000 0.000000 4 
1.000000 1.000000 0.219460 0.181818 103.813742 -nan 103.813742 260.650414 0.000000 260.650414 4.000000 0.000000 4 
1.500000 1.000000 0.096354 0.165759 103.604808 0.000000 103.604808 261.180111 0.000000 261.180111 4.000000 0.000000 4 
2.000000 1.000000 0.055990 0.155382 103.614034 0.000000 103.614034 259.823410 0.000000 259.823410 4.000000 0.000000 4 
2.500000 1.000000 0.017401 0.140349 103.535678 0.000000 103.535678 260.160979 0.000000 260.160979 4.000000 0.000000 4 
3.000000 1.000000 0.000118 0.124211 103.698956 -nan 103.698956 261.710344 0.000000 261.710344 4.000000 0.000000 4 
3.500000 0.000000 0.000000 0.110835 102.942444 0.000000 102.942444 261.678181 0.000004 261.678181 4.000000 0.000000 4 
